CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 247.687500 1514433651.9592
MEM 247.687500 1514433652.0602
MEM 247.687500 1514433652.1622
MEM 247.687500 1514433652.2627
MEM 247.687500 1514433652.3633
MEM 247.687500 1514433652.4678
MEM 247.687500 1514433652.5729
MEM 247.687500 1514433652.6781
MEM 247.687500 1514433652.7800
MEM 247.687500 1514433652.8841
MEM 247.687500 1514433652.9893
MEM 247.687500 1514433653.0944
MEM 247.691406 1514433653.1996
MEM 247.691406 1514433653.3048
MEM 247.691406 1514433653.4096
MEM 247.691406 1514433653.5144
MEM 247.691406 1514433653.6160
MEM 247.691406 1514433653.7212
MEM 247.691406 1514433653.8263
MEM 247.695312 1514433653.9301
MEM 247.695312 1514433654.0353
MEM 247.695312 1514433654.1384
MEM 247.695312 1514433654.2386
MEM 247.695312 1514433654.3438
MEM 247.695312 1514433654.4458
MEM 247.695312 1514433654.5506
MEM 247.695312 1514433654.6537
MEM 247.695312 1514433654.7589
MEM 247.695312 1514433654.8604
MEM 247.695312 1514433654.9617
MEM 247.695312 1514433655.0662
MEM 247.695312 1514433655.1714
MEM 247.695312 1514433655.2766
MEM 247.695312 1514433655.3802
MEM 247.695312 1514433655.4853
MEM 247.695312 1514433655.5888
MEM 247.699219 1514433655.6911
MEM 247.710938 1514433655.7948
MEM 247.710938 1514433655.8968
MEM 247.710938 1514433655.9987
MEM 247.710938 1514433656.0998
MEM 247.710938 1514433656.2049
MEM 247.710938 1514433656.3101
MEM 247.710938 1514433656.4152
MEM 247.710938 1514433656.5203
MEM 247.710938 1514433656.6255
MEM 247.710938 1514433656.7306
MEM 247.710938 1514433656.8358
MEM 247.710938 1514433656.9410
MEM 247.710938 1514433657.0461
MEM 247.710938 1514433657.1513
MEM 247.710938 1514433657.2565
MEM 247.710938 1514433657.3578
MEM 247.710938 1514433657.4606
MEM 247.710938 1514433657.5657
MEM 247.710938 1514433657.6679
MEM 247.710938 1514433657.7693
MEM 247.710938 1514433657.8718
MEM 247.710938 1514433657.9769
MEM 247.710938 1514433658.0802
MEM 247.714844 1514433658.1837
MEM 247.714844 1514433658.2889
MEM 247.714844 1514433658.3903
MEM 247.714844 1514433658.4922
MEM 247.714844 1514433658.5974
MEM 247.714844 1514433658.7026
MEM 247.714844 1514433658.8078
MEM 247.714844 1514433658.9117
MEM 247.714844 1514433659.0169
MEM 247.714844 1514433659.1220
MEM 247.714844 1514433659.2272
MEM 247.714844 1514433659.3309
MEM 247.714844 1514433659.4317
MEM 247.714844 1514433659.5369
MEM 247.714844 1514433659.6421
MEM 247.714844 1514433659.7472
MEM 247.714844 1514433659.8523
MEM 247.714844 1514433659.9553
MEM 247.714844 1514433660.0595
MEM 247.714844 1514433660.1646
MEM 247.714844 1514433660.2694
