CMDLINE python2.7 19-Quick-Implement-for-difference-distance.py
MEM 246.488281 1514434453.7873
MEM 246.488281 1514434453.8875
MEM 246.488281 1514434453.9896
MEM 246.488281 1514434454.0943
MEM 246.488281 1514434454.1992
MEM 246.488281 1514434454.3043
MEM 246.488281 1514434454.4046
MEM 246.488281 1514434454.5098
MEM 246.488281 1514434454.6150
MEM 246.488281 1514434454.7153
MEM 246.488281 1514434454.8204
MEM 246.488281 1514434454.9217
MEM 246.488281 1514434455.0220
MEM 246.488281 1514434455.1227
MEM 246.488281 1514434455.2291
MEM 246.488281 1514434455.3322
MEM 246.488281 1514434455.4347
MEM 246.492188 1514434455.5372
MEM 246.492188 1514434455.6418
MEM 246.492188 1514434455.7468
MEM 246.492188 1514434455.8519
MEM 246.492188 1514434455.9571
MEM 246.492188 1514434456.0612
MEM 246.492188 1514434456.1643
MEM 246.492188 1514434456.2647
MEM 246.492188 1514434456.3698
MEM 246.492188 1514434456.4749
MEM 246.492188 1514434456.5801
MEM 246.492188 1514434456.6803
MEM 246.492188 1514434456.7806
MEM 246.492188 1514434456.8857
MEM 246.492188 1514434456.9909
MEM 246.492188 1514434457.0924
MEM 246.492188 1514434457.1969
MEM 246.492188 1514434457.3021
MEM 246.492188 1514434457.4052
MEM 246.492188 1514434457.5104
MEM 246.492188 1514434457.6114
MEM 246.492188 1514434457.7125
MEM 246.492188 1514434457.8132
MEM 246.492188 1514434457.9137
MEM 246.492188 1514434458.0149
MEM 246.492188 1514434458.1153
MEM 246.492188 1514434458.2192
MEM 246.492188 1514434458.3235
MEM 246.492188 1514434458.4287
MEM 246.492188 1514434458.5324
MEM 246.492188 1514434458.6375
MEM 246.492188 1514434458.7417
MEM 246.492188 1514434458.8432
MEM 246.492188 1514434458.9483
MEM 246.492188 1514434459.0508
MEM 246.492188 1514434459.1523
MEM 246.492188 1514434459.2537
MEM 246.492188 1514434459.3562
MEM 246.492188 1514434459.4614
MEM 246.492188 1514434459.5617
MEM 246.492188 1514434459.6660
MEM 246.492188 1514434459.7703
MEM 246.492188 1514434459.8734
MEM 246.492188 1514434459.9754
MEM 246.492188 1514434460.0805
MEM 246.492188 1514434460.1846
MEM 246.492188 1514434460.2882
MEM 246.492188 1514434460.3907
MEM 246.496094 1514434460.4959
MEM 246.496094 1514434460.5969
MEM 246.496094 1514434460.6990
MEM 246.496094 1514434460.8041
MEM 246.496094 1514434460.9093
MEM 246.496094 1514434461.0144
MEM 246.496094 1514434461.1178
MEM 246.496094 1514434461.2205
MEM 246.496094 1514434461.3247
MEM 246.496094 1514434461.4299
MEM 246.496094 1514434461.5305
MEM 246.496094 1514434461.6357
MEM 246.496094 1514434461.7380
MEM 246.496094 1514434461.8432
MEM 246.496094 1514434461.9470
MEM 246.496094 1514434462.0503
MEM 246.496094 1514434462.1555
MEM 246.496094 1514434462.2562
MEM 246.496094 1514434462.3587
MEM 246.496094 1514434462.4638
MEM 246.496094 1514434462.5646
MEM 246.496094 1514434462.6660
MEM 246.496094 1514434462.7690
MEM 246.496094 1514434462.8742
MEM 246.496094 1514434462.9792
MEM 246.496094 1514434463.0806
MEM 246.496094 1514434463.1808
MEM 246.496094 1514434463.2824
MEM 246.496094 1514434463.3826
MEM 246.496094 1514434463.4878
MEM 246.496094 1514434463.5914
MEM 246.468750 1514434463.6925
MEM 246.468750 1514434463.7971
MEM 246.468750 1514434463.8985
MEM 246.468750 1514434464.0019
MEM 246.468750 1514434464.1068
MEM 246.468750 1514434464.2120
MEM 246.468750 1514434464.3137
MEM 246.472656 1514434464.4140
MEM 246.472656 1514434464.5191
MEM 246.472656 1514434464.6243
MEM 246.472656 1514434464.7279
MEM 246.472656 1514434464.8332
MEM 246.472656 1514434464.9383
MEM 246.472656 1514434465.0396
MEM 246.472656 1514434465.1417
MEM 246.472656 1514434465.2424
MEM 246.472656 1514434465.3471
MEM 246.472656 1514434465.4522
MEM 246.472656 1514434465.5573
MEM 246.472656 1514434465.6625
MEM 246.472656 1514434465.7643
MEM 246.472656 1514434465.8695
MEM 246.472656 1514434465.9741
MEM 246.472656 1514434466.0789
MEM 246.472656 1514434466.1806
MEM 246.484375 1514434466.2808
MEM 246.484375 1514434466.3819
MEM 246.484375 1514434466.4871
MEM 246.484375 1514434466.5893
MEM 246.484375 1514434466.6946
MEM 246.484375 1514434466.7972
MEM 246.484375 1514434466.9019
MEM 246.484375 1514434467.0039
MEM 246.484375 1514434467.1043
MEM 246.484375 1514434467.2068
MEM 246.484375 1514434467.3110
MEM 246.484375 1514434467.4138
MEM 246.484375 1514434467.5161
MEM 246.484375 1514434467.6213
MEM 246.484375 1514434467.7258
MEM 246.492188 1514434467.8308
MEM 246.492188 1514434467.9336
MEM 246.492188 1514434468.0384
MEM 246.492188 1514434468.1436
MEM 246.492188 1514434468.2488
MEM 246.492188 1514434468.3534
MEM 246.492188 1514434468.4562
MEM 246.492188 1514434468.5614
MEM 246.492188 1514434468.6660
MEM 246.492188 1514434468.7682
MEM 246.492188 1514434468.8728
MEM 246.496094 1514434468.9749
MEM 246.496094 1514434469.0759
MEM 246.496094 1514434469.1808
MEM 246.496094 1514434469.2855
MEM 246.496094 1514434469.3861
MEM 246.503906 1514434469.4868
MEM 246.503906 1514434469.5882
MEM 246.503906 1514434469.6928
MEM 246.503906 1514434469.7972
MEM 246.503906 1514434469.8999
MEM 246.503906 1514434470.0049
MEM 246.503906 1514434470.1088
MEM 246.503906 1514434470.2093
MEM 246.503906 1514434470.3103
MEM 246.503906 1514434470.4132
MEM 246.503906 1514434470.5146
MEM 246.503906 1514434470.6154
MEM 246.503906 1514434470.7206
MEM 246.503906 1514434470.8253
MEM 246.503906 1514434470.9280
MEM 246.503906 1514434471.0308
MEM 246.503906 1514434471.1360
MEM 246.503906 1514434471.2367
MEM 246.503906 1514434471.3408
MEM 246.503906 1514434471.4419
MEM 246.503906 1514434471.5471
MEM 246.503906 1514434471.6477
MEM 246.503906 1514434471.7516
MEM 246.503906 1514434471.8557
MEM 246.503906 1514434471.9609
MEM 246.503906 1514434472.0661
MEM 246.503906 1514434472.1697
MEM 246.507812 1514434472.2721
MEM 246.507812 1514434472.3725
MEM 246.507812 1514434472.4735
MEM 246.507812 1514434472.5785
MEM 246.507812 1514434472.6809
MEM 246.507812 1514434472.7854
MEM 246.511719 1514434472.8870
MEM 246.511719 1514434472.9912
MEM 246.511719 1514434473.0932
MEM 246.515625 1514434473.1973
MEM 246.519531 1514434473.2984
MEM 246.519531 1514434473.4035
MEM 246.523438 1514434473.5059
MEM 246.523438 1514434473.6069
MEM 246.523438 1514434473.7100
MEM 246.523438 1514434473.8151
MEM 246.527344 1514434473.9191
