	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
56787	1419 E EAGER ST BALTIMORE | MD 21205-1034	0x00B9040000200A00000020	1	1034	21205	 East Eager Street 	1419
56797	330 S FRANKLINTOWN RD BALTIMORE | MD 21223-2041	0x0082080000202300000041	1	2041	21223	 South Franklintown Road 	330
56814	804-06 N FRANKLINTOWN RD BALTIMORE | MD 21216	0x00B1090000200300000020	1	0	21216	 North Franklintown Road 	804-06
56864	2800 N LOUDON AVE BALTIMORE | MD 21216-1638	0x00280B0000201300000020	1	1638	21216	 North Loudon Avenue 	2800
56868	2924 EDGECOMBE CIR S BALTIMORE | MD 21215-6807	0x00CD120000421300000020	1	6807	21215	 Edgecombe Circle South 	2924
56875	3109 W GARRISON AVE BALTIMORE | MD 21215-6029	0x0004120000200E00000020	1	6029	21215	 West Garrison Avenue 	3109
56906	724 NEWINGTON AVE BALTIMORE | MD 21217-4627	0x007E0D0000201100000020	1	4627	21217	 Newington Avenue 	724
56907	1724 E 25TH ST BALTIMORE | MD 21213-1304	0x0046100000420D00000020	1	1304	21213	 East 25Th Street 	1724
56918	2707 GREENMOUNT AVE BALTIMORE | MD 21218-4445	0x00E70F0000200400000020	1	4445	21218	 Greenmount Avenue 	2707
56934	3107 W GARRISON AVE BALTIMORE | MD 21215-6029	0x0004120000200F00000020	1	6029	21215	 West Garrison Avenue 	3107
56937	2919 WINDSOR AVE BALTIMORE | MD 21216-2840	0x00CF0B0000201100000020	1	2840	21216	 Windsor Avenue 	2919
56952	2311 ANNAPOLIS RD BALTIMORE | MD 21230-3101	0x00161D0000200600000020	1	3101	21230	 Annapolis Road 	2311
56974	2717 GREENMOUNT AVE BALTIMORE | MD 21218-4445	0x00E70F0000200900000020	1	4445	21218	 Greenmount Avenue 	2717
56998	3105 W GARRISON AVE BALTIMORE | MD 21215-6029	0x0004120000201000000020	1	6029	21215	 West Garrison Avenue 	3105
57008	1308 LAKESIDE AVE BALTIMORE | MD 21218-3003	0x00950F0000201000000020	1	3003	21218	 Lakeside Avenue 	1308
57016	2227 ANNAPOLIS RD BALTIMORE | MD 21230-3113	0x000D1D0000410300000020	1	3113	21230	 Annapolis Road 	2227
57023	430 N LINWOOD AVE BALTIMORE | MD 21224-1214	0x008C060000202B00000020	1	1214	21224	 North Linwood Avenue 	430
57049	2731 GREENMOUNT AVE BALTIMORE | MD 21218-4496	0x00E70F0000200C00000020	1	4496	21218	 Greenmount Avenue 	2731
57070	324 N PACA ST BALTIMORE | MD 21201-1814	0x003F020000201700000020	1	1814	21201	 North Paca Street 	324
57075	4326 FALLS RD BALTIMORE | MD 21211-1222	0x00B6120000200E00000020	1	1222	21211	 Falls Road 	4326
57110	5503 BENTON HEIGHTS AVE BALTIMORE | MD 21206-3549	0x00B7160000200100000020	1	3549	21206	 Benton Heights Avenue 	5503
57174	2030 PARK AVE BALTIMORE | MD 21217-4816	0x00760D0000200700000020	1	4816	21217	 Park Avenue 	2030
57180	423 S LEHIGH ST BALTIMORE | MD 21224-2626	0x00B6180000202400000020	1	2626	21224	 South Lehigh Street 	423
57185	3013 W GARRISON AVE BALTIMORE | MD 21215-6015	0x0005120000201400000020	1	6015	21215	 West Garrison Avenue 	3013
57200	1733 DARLEY AVE BALTIMORE | MD 21213-1320	0x0043100000420F00000020	1	1320	21213	 Darley Avenue 	1733
57210	1802 EASTERN AVE BALTIMORE | MD 21231-2522	0x00EC060000203000000020	1	2522	21231	 Eastern Avenue 	1802
57268	3403 E LOMBARD ST BALTIMORE | MD 21224-2333	0x0090180000204000000020	1	2333	21224	 East Lombard Street 	3403
57273	407 E 28TH ST BALTIMORE | MD 21218-4426	0x00050F0000200800000045	1	4426	21218	 East 28Th Street 	407
57328	734 MCCABE AVE BALTIMORE | MD 21212-4214	0x002D140000443600000020	1	4214	21212	 Mccabe Avenue 	734
57342	2330 HOLLINS ST BALTIMORE | MD 21223-2135	0x0068080000200600000020	1	2135	21223	 Hollins Street 	2330
57344	3044 JANICE AVE BALTIMORE | MD 21230-2704	0x00441D0000434B01000020	1	2704	21230	 Janice Avenue 	3044
57388	738 MCCABE AVE BALTIMORE | MD 21212-4214	0x002D140000443800000020	1	4214	21212	 Mccabe Avenue 	738
57424	2549 W FAIRMOUNT AVE BALTIMORE | MD 21223-1425	0x007A080000424100000020	1	1425	21223	 West Fairmount Avenue 	2549
57427	2211 E BIDDLE ST BALTIMORE | MD 21213-3405	0x0011060000203700000020	1	3405	21213	 East Biddle Street 	2211
57436	5021 PALMER AVE BALTIMORE | MD 21215-5136	0x00EB110000201900000020	1	5136	21215	 Palmer Avenue 	5021
57467	961 BENNETT PL BALTIMORE | MD 21223-1312	0x0081000000205D00000020	1	1312	21223	 Bennett Place 	961
57517	1675 CLIFTVIEW AVE BALTIMORE | MD 21213-1309	0x0044100000412600000020	1	1309	21213	 Cliftview Avenue 	1675
57522	920 W FRANKLIN ST BALTIMORE | MD 21223-1337	0x0081000000200A00000020	1	1337	21223	 West Franklin Street 	920
57538	1670 DARLEY AVE BALTIMORE | MD 21213-1319	0x0044100000414E00000020	1	1319	21213	 Darley Avenue 	1670
57566	3422 ELMORA AVE BALTIMORE | MD 21213-1642	0x00521000004A2200000020	1	1642	21213	 Elmora Avenue 	3422
57570	5746 FALLS RD BALTIMORE | MD 21209-3708	0x00AA120000423400000020	1	3708	21209	 Falls Road 	5746
57573	4620 BELAIR RD BALTIMORE | MD 21206-6339	0x00E8160000204B00000020	1	6339	21206	 Belair Road 	4620
57576	2123 BOLTON ST BALTIMORE | MD 21217-4640	0x00730D0000201D00000020	1	4640	21217	 Bolton Street 	2123
57591	2920 WALBROOK AVE BALTIMORE | MD 21216-3135	0x00C50B0000203700000020	1	3135	21216	 Walbrook Avenue 	2920
57623	2626 WILKENS AVE BALTIMORE | MD 21223	0x0058080000200100000020	1	0	21223	 Wilkens Avenue 	2626
57649	2933 WALBROOK AVE BALTIMORE | MD 21216-3136	0x00BC0B0000202E00000020	1	3136	21216	 Walbrook Avenue 	2933
57678	2601 ROSLYN AVE BALTIMORE | MD 21216-2218	0x000F0B0000200600000020	1	2218	21216	 Roslyn Avenue 	2601
57699	3410 ELMORA AVE BALTIMORE | MD 21213-1642	0x00521000004A1C00000020	1	1642	21213	 Elmora Avenue 	3410
57747	530 ROSE HILL TER BALTIMORE | MD 21218-1238	0x003E0F0000202A00000020	1	1238	21218	 Rose Hill Ter 	530
57748	2317 ANNAPOLIS RD BALTIMORE | MD 21230-3101	0x00161D0000200900000020	1	3101	21230	 Annapolis Road 	2317
57752	1912 SWANSEA RD BALTIMORE | MD 21239-3634	0x000B150000203601000020	1	3634	21239	 Swansea Road 	1912
57759	3408 ELMORA AVE BALTIMORE | MD 21213-1642	0x00521000004A1B00000020	1	1642	21213	 Elmora Avenue 	3408
57761	2940 W NORTH AVE BALTIMORE | MD 21216-3105	0x00BC0B0000201300000020	1	3105	21216	 West North Avenue 	2940
57824	4605 BENTON HEIGHTS AVE BALTIMORE | MD 21206-5557	0x00E8160000203F00000020	1	5557	21206	 Benton Heights Avenue 	4605
57829	106 S KOSSUTH ST BALTIMORE | MD 21229-3624	0x00CD080000201800000020	1	3624	21229	 South Kossuth Street 	106
57837	2457 WESTPORT ST BALTIMORE | MD 21230-3019	0x00271D0000202B00000020	1	3019	21230	 Westport Street 	2457
57843	2802 OAKLEY AVE BALTIMORE | MD 21215-5313	0x008B120000410100000042	1	5313	21215	 Oakley Avenue 	2802
57879	603 MCCABE AVE BALTIMORE | MD 21212-4211	0x002D140000205700000020	1	4211	21212	 Mccabe Avenue 	603
57933	1228 E PRESTON ST BALTIMORE | MD 21202-5624	0x007B040000200400000020	1	5624	21202	 East Preston Street 	1228
57981	3790 COLUMBUS DR BALTIMORE | MD 21215-6122	0x00870B0000444100000020	1	6122	21215	 Columbus Drive 	3790
57983	2816 OAKLEY AVE BALTIMORE | MD 21215-5313	0x008B120000410300000020	1	5313	21215	 Oakley Avenue 	2816
58038	2317 CALLOW AVE BALTIMORE | MD 21217-4626	0x007E0D0000200500000020	1	4626	21217	 Callow Avenue 	2317
58102	2207 W LEXINGTON ST BALTIMORE | MD 21223-1515	0x00AE000000200400000020	1	1515	21223	 West Lexington Street 	2207
58174	937 N CAROLINE ST BALTIMORE | MD 21205-1000	0x00BC040000200400000020	1	1000	21205	 North Caroline Street 	937
58177	832 WASHINGTON BLVD BALTIMORE | MD 21230-2344	0x004F030000421100000020	1	2344	21230	 Washington Boulevard 	832
58179	3236 BARCLAY ST BALTIMORE | MD 21218-3436	0x00270F0000422D00000020	1	3436	21218	 Barclay Street 	3236
58201	35 S KOSSUTH ST BALTIMORE | MD 21229-3622	0x00CF080000200D00000020	1	3622	21229	 South Kossuth Street 	35
58214	2401 E PRESTON ST BALTIMORE | MD 21213-3613	0x0001060000203100000020	1	3613	21213	 East Preston Street 	2401
58235	207 FURROW ST BALTIMORE | MD 21223-2848	0x00EF000000201100000020	1	2848	21223	 Furrow Street 	207
58251	1543 N FULTON AVE BALTIMORE | MD 21217-1609	0x0015000000202A00000020	1	1609	21217	 North Fulton Avenue 	1543
